Act Name,Content,Act Number,Date & Year,Sections,Key Clauses,AI Summary
"Advocates Act, 1961","Advocates Act, 1961
(Act no. 25 of 1961)",Not Available,Not Available,Not Available,General,"Legal practice in India is governed by the Advocates Act 1961; an act passed by the Indian Parliament which provides for laws relating to legal practitioners in India and for the constitution of the Bar Council of India (BCI) and state bar councils.  Under the powers granted in the Act, the BCI has made rules known as BCI rules which lay down rules for practice, legal education and professional ethics. Advocates Act 1961 replaced the earlier Indian Bar Councils Act, 1926."
"Air (Prevention and Control of Pollution) Act, 1981","Air (Prevention and Control of Pollution) Act, 1981
(Act no. 14 of 1981)",Not Available,Not Available,Not Available,General,"The Air (Prevention and Control of Pollution) Act, 1981 is an Act of the Parliament of India to prevent air pollution in India. The law was amended in 1987. This was the first attempt by the Government of India to combat air pollution."
"All India Services Act, 1951","All India Services Act, 1951
NO.LXI OF 1951
An Act to regulate the recruitment, and the conditions of service of
persons appointed, to the all-India Services common to the  Union  and the States.
[29th October, 1951]
BE it enacted by parliament as follows:--",Not Available,"29th October, 1951",Not Available,General,"The All India Services Act, 1951 (IAST: Akhila Bhāratīya Sevāem Adhiniyama, 1951) is an Indian legislation. The Act established two All India Services and provides for the creation of three more."
"Andhra Pradesh Reorganization Act, 2014","The Andhra Pradesh reorganization Act, 2014
[No. 6 of 2014]
[1st March, 2014]
An act to provide for the reorganization of the existing state of Andhra Pradesh and for matters connected therewith. Be it enacted by parliament in the sixty-fifth year of the republic of India as follows:-",Not Available,"1st March, 2014",Not Available,General,"The  Andhra Pradesh Reorganisation Act of 2014, commonly known as the Telangana Act, is an Act of Indian Parliament that split the state of Andhra Pradesh into Telangana and the residuary Andhra Pradesh state, as an outcome of the Telangana movement. The Act defined the boundaries of the two states, determined how the assets and liabilities were to be divided, and laid out the status of Hyderabad as the permanent capital of new Telangana state and temporary capital of the Andhra Pradesh state.
An earlier version of the bill, Andhra Pradesh Reorganisation Act, 2013, was rejected by the Andhra Pradesh Legislative Assembly on 30 January 2014. The 2014 bill was passed in the Lok Sabha on 18 February 2014 and in the Rajya Sabha on 20 February 2014. The bill was attested by the President of India, Pranab Mukherjee on 1 March 2014 and published in the official Gazette on 2 March 2014, where as 2 June 2014 is the 'appointed day' according to the act. The new states were created on 2 June 2014."
"Anti-Hijacking Act, 2016","The Anti-Hijacking Act, 2016
[Act No. 30 of 2016]
[13th May, 2016.]



Contents


Title
The Anti-Hijacking Act, 2016


Sections
Particulars


Chapter I
Preliminary


1.
Short title, extent, application and commencement


2.
Definitions


Chapter II
Hijacking and Connected offences


3.
Hijacking


4.
Punishment for hijacking


5.
Punishment for acts of violence connected with hijacking


6.
Conferment of powers of investigations


7.
Jurisdiction


8.
Designated Court


9.
Offences triable by Designated Court


Chapter III
Miscellaneous


10.
Application of Code to proceedings before Designated Court


11.
Provisions as to extradition


12.
Provision as to bail


13.
Contracting parties to Convention


14.
Power to treat certain aircraft to be registered in Convention countries


15.
Previous sanction necessary for prosecution


16.
Presumption as to offences under sections 3 and 5


17.
Protection of action taken in good faith


18.
Powers of investigating officers to seize or attach property


19.
Confiscation and forfeiture of property


20.
General power to make rules


21.
Repeal and savings






 Back



[Act No. 30 of 2016]
[13th May, 2016.]
Repeal and savings",Act No. 30 of 2016,Not Available,Not Available,Jurisdiction,"The Anti-Hijacking Act, 2016 is an Act of the Parliament of India intended to enforce the Hague Hijacking Convention and the 2010 Beijing Protocol Supplementary to the Convention. The Act repeals and replaces The Anti-Hijacking Act, 1982. The new Act broadens the definition of hijacking to include any attempt to seize or gain control of an aircraft using ""any technological means"", which accounts for the possibility that the hijackers may not be physically present on board the aircraft."
"Armed Forces (Special Powers) Act, 1958","The Armed Forces (Special Powers) Act, 1958

[Act No. 28 of 1958]",Act No. 28 of 1958,Not Available,Not Available,General,"Armed Forces (Special Powers) Act (AFSPA), 1958 is an act of the Parliament of India that grants special powers to the Indian Armed Forces to maintain public order in ""disturbed areas"". According to the Disturbed Areas (Special Courts) Act, 1976 once declared 'disturbed', the area has to maintain status quo for a minimum of 3 months.
One such act passed on 11 September 1958 was applicable to the Naga Hills, then part of Assam. In the following decades it spread, one by one, to the other Seven Sister States in India's northeast (at present, it is in force in the States of Assam, Nagaland, Manipur {excluding Imphal Municipal Council Area}, Changlang, Longding and Tirap districts of Arunachal Pradesh, and areas falling within the jurisdiction of the eight police stations of districts in Arunachal Pradesh bordering the State of Assam). Another one passed in 1983 and applicable to Punjab and Chandigarh was withdrawn in 1997, roughly 14 years after it came to force. An act passed in 1990 was"
"Armed Forces Tribunal Act, 2007","Armed Forces Tribunal Act, 2007
An Act to provide for the adjudication or trial by Armed Forces Tribunal of disputes and complaints with respect to commission, appointments, enrolment and conditions of service in respect of persons subject to the Army Act, 1950, the Navy Act, 1957 and the Air Force Act 1950 and also to provide for appeals arising out of orders, findings or sentences of court martial held under the said Acts and for matters connected therewith or incidental thereto.
BE it enacted by Parliament in the Fifty-eighth Year of the Republic of India as follows:-",Not Available,Not Available,Not Available,General,"The Armed Forces Tribunal Act, 2007 was passed by the Parliament and led to the formation of Armed Forces Tribunal in India.


== References =="
"Arms Act, 1959","Arms Act, 1959
(Act no. 54 of 1959)",Not Available,Not Available,Not Available,General,"The Arms Act, 1959 is an Act of the Parliament of India to consolidate and amend the law relating to arms and ammunition in order to curb illegal weapons and violence stemming from them. It replaced the Indian Arms Act, 1878.
The Arms Act was passed in 1959."
"Army Act, 1950","The Army Act, 1950
[Act No. 7 of 2014]
[17th July, 2014.]",Act No. 7 of 2014,Not Available,Not Available,General,"The Army Act, 1950 is an Indian act of parliament governing military law in the Indian Armed Forces.
The Army Act was passed by the Parliament on 22 May 1950 and came into effect on 22 July 1950.


== References =="
"Banaras Hindu University Act, 1915","The Banaras Hindu University Act, 1915



Contents



Sections
Particulars


Title
The Banaras Hindu University Act


1.
Short title and commencement


2.
Definitions


3.
Incorporation


4.
University open to all classes, castes and creeds


4A.
Powers of the University


5.
Visitor


6.
Officers of the University


7.
Chancellor


7A.
Powers of Chancellor


7B.
Vice-Chancellor


7C.
Powers and duties of Vice-Chancellor


8.
Powers and duties of officers, terms of office and filling of casual vacancies


8A.
Authorities of the University


9.
The Court


10.
Executive Council


11.
The Academic Council


12.
[Omitted.]


12A.
Other authorities


12B.
Disqualifications


13.
Audit of accounts


13A.
Annual Report


14.
Permanent reserve to cover recurring charges


15.
Maintenance and admission to privileges of Colleges


16.
Recognition of degrees


16A.
Pension or Provident Fund


16B.
Conditions of service of officers and teachers


16C.
Proceedings not to be invalidated by vacancies, etc


16D.
Protection of action taken in good faith


17.
Statutes


18.
Ordinances


19.
Power to make Regulations


19A.
Constitution of boards and committees


20.
Dissolution and transfer of property of the Hindu University Society


The Schedule
For The Statutes of The University See University Calendar






 Back


",Not Available,Not Available,Not Available,General,"The Banaras Hindu University Act, 1915 (also called the BHU Act), is an act of Parliament of India, passed on 1 October 1915 and assented by the Viceroy and Governor-General of India on the same day to establish Banaras Hindu University. It was the act number 16 of 1915, and came into force from 1 April 1916 on being published in the Gazette of India on 23 March 1916.
The act has been amended six times thus far, in 1922, 1930, 1951, 1958, 1966, and 1969."
